time,u,y
3.563563563563563719e+01,2.930000000000000000e+02,3.153782413805654983e+02
3.573573573573573725e+01,2.930000000000000000e+02,3.154804953055282226e+02
3.583583583583583732e+01,2.930000000000000000e+02,3.154534806930715831e+02
3.593593593593593738e+01,2.930000000000000000e+02,3.157433782743290180e+02
3.603603603603603744e+01,2.930000000000000000e+02,3.157228759246156073e+02
3.613613613613613751e+01,2.930000000000000000e+02,3.158784480130117913e+02
3.623623623623623757e+01,2.930000000000000000e+02,3.157068898297820283e+02
3.633633633633633764e+01,2.930000000000000000e+02,3.155259886566713021e+02
3.643643643643643770e+01,2.930000000000000000e+02,3.154170159244300180e+02
3.653653653653653777e+01,2.930000000000000000e+02,3.154494591303746915e+02
3.663663663663663783e+01,2.930000000000000000e+02,3.155171301226276910e+02
3.673673673673673790e+01,2.930000000000000000e+02,3.154959640436626955e+02
3.683683683683683796e+01,2.930000000000000000e+02,3.155535039211601998e+02
3.693693693693693803e+01,2.930000000000000000e+02,3.153814726009036349e+02
3.703703703703703809e+01,2.930000000000000000e+02,3.153607366493175164e+02
3.713713713713713815e+01,2.930000000000000000e+02,3.154108865630488481e+02
3.723723723723723822e+01,2.930000000000000000e+02,3.154923571444772961e+02
3.733733733733733828e+01,2.930000000000000000e+02,3.153600351490437674e+02
3.743743743743743835e+01,2.930000000000000000e+02,3.153331203949035739e+02
3.753753753753753841e+01,2.930000000000000000e+02,3.154971015253757400e+02
3.763763763763763848e+01,2.930000000000000000e+02,3.155329371764644861e+02
3.773773773773773854e+01,2.930000000000000000e+02,3.156174839574259749e+02
3.783783783783783861e+01,2.930000000000000000e+02,3.154671195119630625e+02
3.793793793793793867e+01,2.930000000000000000e+02,3.155822735105631409e+02
3.803803803803803874e+01,2.930000000000000000e+02,3.157286325595281937e+02
3.813813813813813880e+01,2.930000000000000000e+02,3.156851096375913812e+02
3.823823823823823886e+01,2.930000000000000000e+02,3.155734294057223792e+02
3.833833833833833893e+01,2.930000000000000000e+02,3.155391304119181655e+02
3.843843843843843899e+01,2.930000000000000000e+02,3.156264687878256154e+02
3.853853853853853906e+01,2.930000000000000000e+02,3.154413574613796527e+02
3.863863863863863912e+01,2.930000000000000000e+02,3.155025174430738844e+02
3.873873873873873919e+01,2.930000000000000000e+02,3.155064186049755790e+02
